---,Level Text,Level Text Description,Audio,Block Camera?,Ogremon Event?,Player Transform,Partner Transform,Monitors,Item Spawn
Beetleland1,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""31C52270456520ACC6C506AFF7B30283"", ""Beetle Land"")","","Beetleland","False","False","((Rotation=(X=0.000000,Y=-0.000000,Z=0.573576,W=0.819152),Translation=(X=39250.000000,Y=26900.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=-0.000000,Y=0.000000,Z=-0.965926,W=0.258819),Translation=(X=41500.000000,Y=31100.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=39150.000000,Y=26900.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=41500.000000,Y=31100.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","","((Item Name=""GoldAcorn"",Chance=4,Location=(X=39640.000000,Y=27140.000000,Z=100.000000)))"
Beetleland2,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""3D1B8E1F454785F8A4EC78A907792E89"", ""Beetle Land"")","","Beetleland","False","False","((Rotation=(X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107),Translation=(X=6000.000000,Y=7200.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=6000.000000,Y=7200.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
BirdraNest,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""543F7FAF42F36DABD57DA6B4569B67B7"", ""Great Canyon"")","NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""8CC385EA498CE198289D37A80E734E10"", ""Birdramon\'s Nest"")","Great Canyon","False","False","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=600.000000,Y=-600.000000,Z=900.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=600.000000,Y=-600.000000,Z=900.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
BirdraTransport,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""E6D30F5E4C4A7504356749B42B810859"", ""File City"")","NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""7C2BF9C04A955B22BEF708888A6FC773"", ""Birdra Transport"")","File City","True","False","((Rotation=(X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107),Translation=(X=10.000000,Y=205.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=10.000000,Y=205.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
CentarClinic,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""D2ADA6F84AE3A96F6B95419230FCD967"", ""File City"")","NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""B80ADBFC4F6BFD333A89A0BB78EF8676"", ""Centar Clinic"")","File City","True","False","((Rotation=(X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107),Translation=(X=440.000000,Y=-330.000000,Z=120.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=440.000000,Y=-330.000000,Z=120.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
CoelaPoint,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""0F6F75EE4C782E468DFB8388C9F5EAB0"", ""Native Forest"")","NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""47FA7FE9465EE696A2DD0492E2D391A2"", ""Coela Point"")","Native Forest","False","False","((Rotation=(X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000),Translation=(X=4220.000000,Y=3300.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=4320.000000,Y=3300.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","","((Item Name=""DigiMushroom"",Chance=30,Location=(X=1710.000000,Y=4380.000000,Z=0.000000)),(Item Name=""DigiMushroom"",Chance=60,Location=(X=2880.000000,Y=2450.000000,Z=0.000000)),(Item Name=""DigiMushroom"",Chance=10,Location=(X=2130.000000,Y=2840.000000,Z=0.000000)),(Item Name=""DigiMushroom"",Chance=20,Location=(X=1680.000000,Y=2420.000000,Z=0.000000)))"
CostumeHouse,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""E8DC5FD448F0EE04A4845A9369BAE20D"", ""Toy Town"")","NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""0EB797FF4F0AB8E1670B11B4A7943220"", ""Costume House"")","Toy Town","True","False","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-460.000000,Y=0.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-460.000000,Y=0.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
Curling,"INVTEXT("""")","INVTEXT("""")","Curling","False","False","((Rotation=(X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107),Translation=(X=200.000000,Y=1550.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=200.000000,Y=1550.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
DigimonBridge,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""907885DB4BDFE6FF033297A960E2554A"", ""Native Forest"")","NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""EDA151B44C51083F4E7161B5FD037B20"", ""Digimon Bridge"")","Native Forest","False","False","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=8020.000000,Y=34880.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107),Translation=(X=9310.000000,Y=40370.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000),Translation=(X=11160.000000,Y=35220.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=8020.000000,Y=35000.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=9450.000000,Y=40370.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=11160.000000,Y=35100.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","","((Item Name=""DigiMushroom"",Chance=40,Location=(X=8500.000000,Y=36300.000000,Z=10.000000)),(Item Name=""BlueApple"",Chance=4,Location=(X=8500.000000,Y=37300.000000,Z=10.000000)))"
DragonEyeLake,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""EDA5E9AE4703C9B9E6210796E8C0DD82"", ""Native Forest"")","NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""FA4D3A354CADE38C4E5852BF03CA88DB"", ""Dragon Eye Lake"")","Native Forest","False","False","((Rotation=(X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107),Translation=(X=15150.000000,Y=40000.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=15150.000000,Y=40000.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
DrillTunnel1,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""E82989A844F9B5175E17A19722A1EE37"", ""Drill Tunnel"")","","Drill Tunnel","False","False","((Rotation=(X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000),Translation=(X=1300.000000,Y=-250.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107),Translation=(X=-415.000000,Y=260.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=1300.000000,Y=-250.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-310.000000,Y=260.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
DrillTunnel2,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""D729DC584B6620C7A8EA818418B23A9F"", ""Drill Tunnel"")","NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""C4910A69442EB0649997CD99061956C5"", ""2nd floor"")","Drill Tunnel","False","True","((Rotation=(X=0.000000,Y=-0.000000,Z=0.707107,W=0.707107),Translation=(X=280.000000,Y=8700.000000,Z=300.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-770.000000,Y=9410.000000,Z=300.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107),Translation=(X=150.000000,Y=10350.000000,Z=300.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000),Translation=(X=920.000000,Y=9200.000000,Z=300.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=280.000000,Y=8700.000000,Z=300.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-770.000000,Y=9410.000000,Z=300.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=150.000000,Y=10350.000000,Z=300.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=920.000000,Y=9200.000000,Z=300.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
DrillTunnel3,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""9C5B90EF4B5C96F7005956A2E2DDE915"", ""Drill Tunnel"")","NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""79FDF6D349BD39E7B2485595582AC7F8"", ""Residential Area"")","Drill Tunnel","False","False","((Rotation=(X=0.000000,Y=-0.000000,Z=0.707107,W=0.707107),Translation=(X=-8930.000000,Y=8520.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-9020.000000,Y=8520.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
DrillTunnel4,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""1A9D16234681DCE6F8B4C78551AA3D71"", ""Drill Tunnel"")","NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""29FB586C4A94AADF62FC44834BF32561"", ""3rd floor"")","Drill Tunnel","False","False","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-1300.000000,Y=-1200.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-120.000000,Y=3100.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-1300.000000,Y=-1200.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-120.000000,Y=3100.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
DrillTunnel5,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""1A9D16234681DCE6F8B4C78551AA3D71"", ""Drill Tunnel"")","NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""E7077FDF49FDE46FAB9FCDBF4B5109B9"", ""Underground Pond"")","Drill Tunnel","False","False","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=4200.000000,Y=8800.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.707107,W=0.707107),Translation=(X=6900.000000,Y=8200.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=4200.000000,Y=8800.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=6900.000000,Y=8200.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
DrillTunnelEntrance,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""71CE56B04997D0BBD2CA7FA8FE337A6D"", ""Native Forest"")","NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""4615D70D4861B949A143A8B01A875EF9"", ""Drill Tunnel Entrance"")","Native Forest","False","False","((Rotation=(X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000),Translation=(X=-60700.000000,Y=31000.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-65330.000000,Y=28780.000000,Z=900.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000),Translation=(X=-61800.000000,Y=28000.000000,Z=900.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-60700.000000,Y=30880.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-65330.000000,Y=28780.000000,Z=900.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-61800.000000,Y=27860.000000,Z=900.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Iten Name=""MediumMP"",Transform=(Rotation=(X=-0.000000,Y=0.000000,Z=-0.173648,W=0.984808),Translation=(X=-65490.000000,Y=29750.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))))","((Item Name=""HappyMushroom"",Chance=2,Location=(X=-64300.000000,Y=28300.000000,Z=800.000000)),(Item Name=""DigiMushroom"",Chance=15,Location=(X=-65200.000000,Y=29800.000000,Z=200.000000)),(Item Name=""DigiMushroom"",Chance=25,Location=(X=-63800.000000,Y=29800.000000,Z=200.000000)))"
FactorialTown1,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""ACEBE99F4370F6123C2D079E7A373FAE"", ""Factorial Town"")","","Factorial Town","False","False","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=310.000000,Y=880.000000,Z=1100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000),Translation=(X=2480.000000,Y=-520.000000,Z=1000.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=310.000000,Y=880.000000,Z=1100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=2480.000000,Y=-520.000000,Z=1000.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
