---,Name Text Normal,Name Text Romanized,Favorite Food,Level,Type,Speciality #1,Speciality #2,Speciality #3,Sleep Time,Training Preference,Sprite,Mesh,Animation,Material,Prefered Map ID,Default Weight,Energy Capacity,Energy Threshold,Energy Usage,Poop Size,Poop Timer,Height,AI Partner Distance,Scale,Head Bone,Mouth Bone,Chest Bone,Foot Bone Right,Foot Bone Left,Footstep Sound,Eat Sound,Attack Sound,Glad Sound,Down Sound,Feeding Time #1,Feeding Time #2,Feeding Time #3,Feeding Time #4,Feeding Time #5,Feeding Time #6,Feeding Time #7,Feeding Time #8,Enabled Technique #1,Enabled Technique #2,Enabled Technique #3,Enabled Technique #4,Enabled Technique #5,Enabled Technique #6,Enabled Technique #7,Enabled Technique #8,Enabled Technique #9,Enabled Technique #10,Enabled Technique #11,Enabled Technique #12,Enabled Technique #13,Enabled Technique #14,Enabled Technique #15,Enabled Technique #16,Default Technique,Finisher Index,Animation Attack Short,Animation Attack Long,Animation Attack Special 01,Animation Attack Special 02,Animation Damaged,Animation Guard,Animation Get Up,Animation Down,Animation Win / Glad,Animation Eat,Statsgain - HP,Statsgain - MP,Statsgain - Offense,Statsgain - Defense,Statsgain - Speed,Statsgain - Brains,Digivolution Requirement - Bonus,Digivolution Requirement - HP,Digivolution Requirement - MP,Digivolution Requirement - Offense,Digivolution Requirement - Defense,Digivolution Requirement - Speed,Digivolution Requirement - Brains,Digivolution Requirement - Care Mistakes,Digivolution Requirement - Weight,Digivolution Requirement - Happiness,Digivolution Requirement - Discipline,Digivolution Requirement - Battles Won,Digivolution Requirement - Techniques,Digivolution Requirement - Max Battles,Digivolution Requirement - Max Care Mistakes,Digivoluton - From #1,Digivoluton - From #2,Digivoluton - From #3,Digivoluton - From #4,Digivoluton - From #5,Digivoluton - To #1,Digivoluton - To #2,Digivoluton - To #3,Digivoluton - To #4,Digivoluton - To #5,Digivoluton - To #6
Gabumon,"Gabumon","Gabumon","Meat","Rookie","Data","Battle","None","Fire","Groogy","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Gabumon.DigimonSprite_Gabumon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Gabumon/SkeletalMesh_Gabumon.SkeletalMesh_Gabumon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Gabumon/Animation_Gabumon.Animation_Gabumon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Gabumon/DIgimonMaterial_Gabumon.DigimonMaterial_Gabumon'"")","5","15","40","25","8","1","24","0","100","1.000000","J_head","J_mouth","J_chest","J_toe_r","J_toe_l","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/Footstep_Player.Footstep_Player'","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/Eating01.Eating01'","/Script/Engine.SoundWave'/Game/Audio/SFX/BattleVoices/Agumon_Attack.Agumon_Attack'","/Script/Engine.SoundWave'/Game/Audio/SFX/BattleVoices/Agumon_Attack.Agumon_Attack'","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00003.SL_00003'","2","5","8","11","14","17","20","23","0","5","8","10","11","12","14","-1","-1","-1","-1","-1","-1","-1","-1","-1","11","98","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Attack01.Gabumon_Attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Attack02.Gabumon_Attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Special01.Gabumon_Special01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Special02.Gabumon_Special02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Damage.Gabumon_Damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Guard.Gabumon_Guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Getup.Gabumon_Getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Down.Gabumon_Down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Win.Gabumon_Win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Eat.Gabumon_Eat'","500","500","50","100","100","50","Koromon","-1","-1","-1","1","1","1","-1","15","-1","-1","-2","-1","False","False","Koromon","None","None","None","None","Centarumon","Monochromon","Drimogemon","Tyrannomon","Ogremon","Garurumon"
Psychemon,"Psychemon","Psychemon","Meat","Rookie","Vaccine","Battle","None","None","Groogy","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Gabumon.DigimonSprite_Gabumon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Gabumon/SkeletalMesh_Gabumon.SkeletalMesh_Gabumon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Gabumon/Animation_Gabumon.Animation_Gabumon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Gabumon/DIgimonMaterial_Psychemon.DigimonMaterial_Psychemon'"")","5","15","40","25","8","1","24","0","100","1.000000","J_head","J_mouth","J_chest","J_toe_r","J_toe_l","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/Footstep_Player.Footstep_Player'","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/Eating01.Eating01'","/Script/Engine.SoundWave'/Game/Audio/SFX/BattleVoices/Agumon_Attack.Agumon_Attack'","/Script/Engine.SoundWave'/Game/Audio/SFX/BattleVoices/Agumon_Attack.Agumon_Attack'","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00003.SL_00003'","2","5","8","11","14","17","20","23","0","5","8","10","11","12","14","-1","-1","-1","-1","-1","-1","-1","-1","-1","11","98","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Attack01.Gabumon_Attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Attack02.Gabumon_Attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Special01.Gabumon_Special01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Special02.Gabumon_Special02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Damage.Gabumon_Damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Guard.Gabumon_Guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Getup.Gabumon_Getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Down.Gabumon_Down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Win.Gabumon_Win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gabumon/Gabumon_Eat.Gabumon_Eat'","500","500","50","100","100","50","Koromon","-1","-1","-1","1","1","1","-1","15","-1","-1","-2","-1","False","False","Koromon","None","None","None","None","Centarumon","Monochromon","Drimogemon","Tyrannomon","Ogremon","Garurumon"
Garurumon,"Garurumon","Garurumon","GiantMeat","Champion","Vaccine","Ice","Fire","Battle","Day","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Garurumon.DigimonSprite_Garurumon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Garurumon/SkeletalMesh_Garurumon.SkeletalMesh_Garurumon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Garurumon/Animation_Garurumon.Animation_Garurumon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Garurumon/DigimonMaterial_Garurumon.DigimonMaterial_Garurumon'"")","1","30","80","35","8","1","36","0","300","1.500000","J_head","J_tooth","J_center","J_F_R_foot","J_F_L_foot","None","None","None","None","None","2","6","11","16","21","-1","-1","-1","0","2","4","10","14","15","32","33","34","35","37","-1","-1","-1","-1","-1","34","63","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_attack01.Garurumon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_attack02.Garurumon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_special01.Garurumon_Anim_special01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_special02.Garurumon_Anim_special02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_damage.Garurumon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_guard.Garurumon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_getup.Garurumon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_down.Garurumon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_win.Garurumon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_eat.Garurumon_Anim_eat'","1500","1500","150","200","150","150","None","-1","1000","-1","-1","100","-1","1","30","-1","90","-1","28","False","True","Gabumon","Gomamon","None","None","None","SkullGreymon","MegaSeadramon","None","None","None","None"
Gururumon,"Gururumon","Gururumon","GiantMeat","Champion","Virus","Battle","Ice","None","Night","MP and Brains","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Garurumon.DigimonSprite_Garurumon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Garurumon/SkeletalMesh_Garurumon.SkeletalMesh_Garurumon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Garurumon/Animation_Garurumon.Animation_Garurumon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Garurumon/DigimonMaterial_Gururumon.DigimonMaterial_Gururumon'"")","1","30","80","35","8","1","36","0","300","1.500000","J_head","J_tooth","J_center","J_F_R_foot","J_F_L_foot","None","None","None","None","None","2","6","11","16","21","-1","-1","-1","10","14","15","32","33","34","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","34","63","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_attack01.Garurumon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_attack02.Garurumon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_special01.Garurumon_Anim_special01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_special02.Garurumon_Anim_special02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_damage.Garurumon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_guard.Garurumon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_getup.Garurumon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_down.Garurumon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_win.Garurumon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Garurumon/Garurumon_Anim_eat.Garurumon_Anim_eat'","1500","1500","150","200","150","150","None","-1","1000","-1","-1","100","-1","1","30","-1","90","-1","28","False","True","Gabumon","Gomamon","None","None","None","SkullGreymon","MegaSeadramon","None","None","None","None"
Gekomon,"Gekomon","Gekomon","None","Champion","Data","Ice","None","None","Day","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Gekomon.DigimonSprite_Gekomon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Gekomon/SkeletalMesh_Gekomon.SkeletalMesh_Gekomon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Gekomon/Animation_Gekomon.Animation_Gekomon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Gekomon/DigimonMaterial_Gekomon.DigimonMaterial_Gekomon'"")","0","15","80","0","0","1","36","0","100","1.300000","J_atama","J_kuchi","J_center","J_tuma_R","J_tuma_L","None","None","None","None","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gekomon/Gekomon_Anim_attack01.Gekomon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gekomon/Gekomon_Anim_attack02.Gekomon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gekomon/Gekomon_Anim_special01.Gekomon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gekomon/Gekomon_Anim_damage.Gekomon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gekomon/Gekomon_Anim_guard.Gekomon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gekomon/Gekomon_Anim_getup.Gekomon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gekomon/Gekomon_Anim_down.Gekomon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gekomon/Gekomon_Anim_win.Gekomon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gekomon/Gekomon_Anim_eat.Gekomon_Anim_eat'","-1","-1","-1","-1","-1","-1","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","None","None","None","None","None","None"
Gigadramon,"Gigadramon","Gigadramon","BlueApple","Ultimate","Virus","Mech","Ice","Battle","Sunset","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Gigadramon.DigimonSprite_Gigadramon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Gigadramon/SkeletalMesh_Gigadramon.SkeletalMesh_Gigadramon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Gigadramon/Animation_Gigadramon.Animation_Gigadramon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Gigadramon/DigimonMaterial_Gigadramon.DigimonMaterial_Gigadramon'"")","3","50","80","45","11","1","36","0","400","1.000000","J_atama","J_ago","J_center","None","None","None","None","None","None","None","2","6","10","14","18","22","-1","-1","12","14","32","33","34","40","41","42","43","44","45","46","47","-1","-1","-1","42","77","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gigadramon/Gigadramon_Anim_attack01.Gigadramon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gigadramon/Gigadramon_Anim_attack02.Gigadramon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gigadramon/Gigadramon_Anim_special01.Gigadramon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gigadramon/Gigadramon_Anim_damage.Gigadramon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gigadramon/Gigadramon_Anim_guard.Gigadramon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gigadramon/Gigadramon_Anim_getup.Gigadramon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gigadramon/Gigadramon_Anim_down.Gigadramon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gigadramon/Gigadramon_Anim_glad.Gigadramon_Anim_glad'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gigadramon/Gigadramon_Anim_eat.Gigadramon_Anim_eat'","6000","6000","600","500","600","500","None","4000","5000","500","400","400","400","3","45","-1","95","30","49","True","False","Tyrannomon","Devimon","Airdramon","Seadramon","None","None","None","None","None","None","None"
Giromon,"Giromon","Giromon","GoldAcorn","Ultimate","Virus","Mech","Air","Battle","Sleepy","Offense and Speed","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Giromon.DigimonSprite_Giromon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Giromon/Giromon2.Giromon2'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Giromon/Animation_Giromon.Animation_Giromon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Giromon/body_0_b.body_0_b'"")","3","5","80","30","6","1","36","0","200","1.000000","None","None","None","None","None","None","None","None","None","None","4","9","13","18","23","-1","-1","-1","14","15","16","18","19","40","41","42","43","44","45","46","47","-1","-1","-1","42","73","None","None","None","None","None","None","None","None","None","None","3000","3000","600","600","500","600","None","-1","-1","400","-1","300","400","15","5","95","-1","100","35","False","False","Centarumon","Ogremon","Bakemon","Unimon","None","None","None","None","None","None","None"
Goburimon,"Goburimon","Goburimon","Meat","Rookie","Virus","Battle","None","None","Sun Up","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Goburimon.DigimonSprite_Goburimon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Goburimon/SkeletalMesh_Goburimon.SkeletalMesh_Goburimon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Goburimon/Animation_Goburimon.Animation_Goburimon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Goburimon/DigimonMaterial_Goburimon.DigimonMaterial_Goburimon'"")","0","15","80","0","0","1","24","0","100","1.000000","J_head","J_Mouth","J_center","J_toe_r","J_toe_l","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00012.SL_00012'","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/Eating01.Eating01'","None","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/VLALL_00019.VLALL_00019'","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00003.SL_00003'","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Goburimon/Goburimon_Anim_attack01.Goburimon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Goburimon/Goburimon_Anim_attack02.Goburimon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Goburimon/Goburimon_Anim_special01.Goburimon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Goburimon/Goburimon_Anim_damage.Goburimon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Goburimon/Goburimon_Anim_guard.Goburimon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Goburimon/Goburimon_Anim_getup.Goburimon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Goburimon/Goburimon_Anim_down.Goburimon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Goburimon/Goburimon_Anim_win.Goburimon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Goburimon/Goburimon_Anim_eat.Goburimon_Anim_eat'","-1","-1","-1","-1","-1","-1","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","None","None","None","None","None","None"
Gomamon,"Gomamon","Gomamon","DigiAnchovy","Rookie","Data","Ice","Earth","None","Day","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Gomamon.DigimonSprite_Gomamon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Gomamon/SkeletalMesh_Gomamon.SkeletalMesh_Gomamon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Gomamon/Animation_Gomamon.Animation_Gomamon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Gomamon/DigimonMaterial_Gomamon.DigimonMaterial_Gomamon'"")","1","15","40","22","6","1","24","0","100","1.000000","J_ago","J_atama","J_hara","J_Rte","J_Lte","None","None","None","None","None","1","5","9","13","17","21","-1","-1","28","29","32","34","35","36","37","-1","-1","-1","-1","-1","-1","-1","-1","-1","34","94","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gomamon/Gomamon_Anim_attack01.Gomamon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gomamon/Gomamon_Anim_attack02.Gomamon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gomamon/Gomamon_Anim_special01.Gomamon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gomamon/Gomamon_Anim_damage.Gomamon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gomamon/Gomamon_Anim_guard.Gomamon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gomamon/Gomamon_Anim_getup.Gomamon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gomamon/Gomamon_Anim_down.Gomamon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gomamon/Gomamon_Anim_glad.Gomamon_Anim_glad'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gomamon/Gomamon_Anim_eat.Gomamon_Anim_eat'","500","500","50","100","50","100","Tsunomon","-1","1","-1","1","-1","1","0","15","-1","-1","-2","-1","False","False","Tsunomon","None","None","None","None","Whamon","Shellmon","Garurumon","Frigimon","Mojyamon","None"
Gotsumon,"Gotsumon","Gotsumon","None","Rookie","Data","Battle","None","None","Groogy","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Gotsumon.DigimonSprite_Gotsumon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Gotsumon/SkeletalMesh_Gotsumon.SkeletalMesh_Gotsumon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Gotsumon/Animation_Gotsumon.Animation_Gotsumon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Gotsumon/DigimonMaterial_Gotsumon.DigimonMaterial_Gotsumon'"")","0","15","80","0","0","1","24","0","200","1.000000","J_atama","J_ago","J_center","J_tuma_R","J_tuma_L","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00009.SL_00009'","None","None","None","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00003.SL_00003'","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_attack01.Gotsumon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_attack02.Gotsumon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_special01.Gotsumon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_damage.Gotsumon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_guard.Gotsumon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_getup.Gotsumon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_down.Gotsumon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_win.Gotsumon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_eat.Gotsumon_Anim_eat'","-1","-1","-1","-1","-1","-1","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","None","None","None","None","None","None"
Meteormon,"Meteormon","Insekimon","None","Champion","Data","None","Battle","None","Sun Up","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Meteormon.DigimonSprite_Meteormon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Gotsumon/SkeletalMesh_Gotsumon.SkeletalMesh_Gotsumon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Gotsumon/Animation_Gotsumon.Animation_Gotsumon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Gotsumon/DigimonMaterial_Meteormon.DigimonMaterial_Meteormon'"")","0","30","80","0","0","1","36","0","300","2.400000","J_atama","J_ago","J_center","J_tuma_R","J_tuma_L","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00009.SL_00009'","None","None","None","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_attack01.Gotsumon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_attack02.Gotsumon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_special01.Gotsumon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_damage.Gotsumon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_guard.Gotsumon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_getup.Gotsumon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_down.Gotsumon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_win.Gotsumon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Gotsumon/Gotsumon_Anim_eat.Gotsumon_Anim_eat'","-1","-1","-1","-1","-1","-1","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","None","None","None","None","None","None"
